track_name,artist_name,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,genres,loudness_scaled
Savage Love Laxed - Siren Beat,"Jawsh 685, Jason Derulo",0.767,0.481,Key_0,minor,0.0803,0.234,0.0,0.269,0.761,150.076,4,2020,Pop,0.6162859980139028
Adore You,Harry Styles,0.676,0.771,Key_8,major,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,2019,Pop,0.9370407149950348
Breaking Me,"Topic, A7S",0.789,0.72,Key_8,minor,0.218,0.223,0.0,0.129,0.664,122.031,4,2019,"Pop,Hip Hop",0.8061569016881828
Mood feat iann dior,"24kGoldn, iann dior",0.701,0.716,Key_7,minor,0.0361,0.174,0.0,0.324,0.732,91.007,4,2021,"Pop,Rap",0.9373055279708706
everything i wanted,Billie Eilish,0.704,0.225,Key_6,minor,0.0994,0.902,0.657,0.106,0.243,120.006,4,2019,Pop,0.2234359483614697
Seorita,"Shawn Mendes, Camila Cabello",0.759,0.548,Key_9,minor,0.029,0.0392,0.0,0.0828,0.749,116.967,4,2019,Pop,0.779874213836478
bad guy,Billie Eilish,0.701,0.425,Key_7,major,0.375,0.328,0.13,0.1,0.562,135.128,4,2019,Pop,0.4544190665342602
WAP feat Megan Thee Stallion,"Cardi B, Megan Thee Stallion",0.935,0.454,Key_1,major,0.375,0.0194,0.0,0.0824,0.357,133.073,4,2020,"Pop,Rap,Jazz",0.6832174776564052
Sunday Best,Surfaces,0.869,0.555,Key_5,major,0.0454,0.137,0.0,0.0746,0.738,112.003,4,2019,Jazz,0.78417742469381
Godzilla feat Juice WRLD,"Eminem, Juice WRLD",0.808,0.745,Key_10,minor,0.342,0.145,0.0,0.292,0.829,165.995,4,2020,"Rap,Hip Hop",0.8321085733200928
Yummy,Justin Bieber,0.676,0.506,Key_9,minor,0.0958,0.345,0.0,0.118,0.497,145.842,4,2020,Pop,0.7399536577292287
Break My Heart,Dua Lipa,0.73,0.729,Key_4,minor,0.0884,0.167,1.39e-06,0.349,0.467,113.011,4,2020,Pop,0.9529956967891426
Dynamite,BTS,0.746,0.765,Key_6,minor,0.0993,0.0112,0.0,0.0936,0.737,114.044,4,2020,Pop,0.8883813306852035
Supalonely feat Gus Dapperton,"BENEE, Gus Dapperton",0.862,0.631,Key_7,major,0.0515,0.291,0.000209,0.123,0.841,128.978,4,2020,"Pop,Rock,Hip Hop",0.8661370407149951
ily i love you baby feat Emilee,"Surf Mesa, Emilee",0.674,0.774,Key_11,minor,0.0892,0.0686,0.00188,0.393,0.33,112.05,4,2019,"Pop,Hip Hop",0.6793776895067859
Rain On Me with Ariana Grande,"Lady Gaga, Ariana Grande",0.672,0.855,Key_9,major,0.0397,0.021,0.0,0.323,0.646,123.056,4,2020,Pop,0.931148626282688
HIGHEST IN THE ROOM,Travis Scott,0.598,0.427,Key_7,minor,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,2019,"Rap,Hip Hop",0.600132406487918
Sunflower - Spider-Man Into the Spider-Verse,"Post Malone, Swae Lee",0.755,0.522,Key_2,major,0.0575,0.533,0.0,0.0685,0.925,89.96,4,2019,"Pop,Rap",0.8911618669314796
Hawi,Maluma,0.783,0.727,Key_6,minor,0.389,0.185,2.46e-05,0.0626,0.558,180.067,4,2020,"Pop,Latino,Rap",0.9516716319099636
Ride It,Regard,0.88,0.751,Key_7,minor,0.0874,0.177,6.43e-05,0.106,0.884,117.948,4,2019,"Pop,Hip Hop",0.8984442237669645
goosebumps,Travis Scott,0.841,0.728,Key_7,major,0.0484,0.0847,0.0,0.149,0.43,130.049,4,2016,"Rap,Hip Hop",0.9572327044025156
RITMO Bad Boys For Life,"Black Eyed Peas, J Balvin",0.732,0.716,Key_10,minor,0.0561,0.0295,0.000758,0.73,0.666,105.093,4,2020,"Pop,Latino,Rap",0.7190334326381993
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",0.716,0.537,Key_0,minor,0.0514,0.233,0.0,0.157,0.28,129.979,4,2020,"Pop,Rap,Hip Hop",0.6740152267461106
Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",0.607,0.829,Key_2,major,0.379,0.0103,0.0,0.107,0.685,96.172,4,2020,"Latino,Rap",0.9106256206554122
lovely with Khalid,"Billie Eilish, Khalid",0.351,0.296,Key_4,minor,0.0333,0.934,0.0,0.095,0.12,115.284,4,2018,"Pop,Jazz",0.5110890433631249
Lucid Dreams,Juice WRLD,0.511,0.566,Key_6,minor,0.2,0.349,0.0,0.34,0.218,83.903,4,2018,Rap,0.7016881827209533
Stuck with U with Justin Bieber,"Ariana Grande, Justin Bieber",0.597,0.45,Key_8,major,0.0418,0.223,0.0,0.382,0.537,178.765,3,2020,Pop,0.739556438265475
If the World Was Ending feat Julia Michaels,"JP Saxe, Julia Michaels",0.464,0.473,Key_1,major,0.129,0.866,0.0,0.109,0.604,75.801,4,2019,"Pop,Hip Hop,Jazz",0.5126117179741808
Physical,Dua Lipa,0.647,0.844,Key_0,major,0.0457,0.0137,0.000658,0.102,0.746,146.967,4,2020,Pop,0.9316782522343596
SICKO MODE,Travis Scott,0.834,0.73,Key_8,major,0.222,0.00513,0.0,0.124,0.446,155.008,4,2018,"Rap,Hip Hop",0.9344587884806356
drivers license,Olivia Rodrigo,0.585,0.436,Key_10,major,0.0601,0.721,1.31e-05,0.105,0.132,143.874,4,2021,Pop,0.6003310162197949
Save Your Tears with Ariana Grande Remix,"The Weeknd, Ariana Grande",0.65,0.825,Key_0,major,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,4,2021,"Pop,Jazz",0.8728235683548494
MONTERO Call Me By Your Name,Lil Nas X,0.61,0.508,Key_8,minor,0.152,0.297,0.0,0.384,0.758,178.818,4,2021,Hip Hop,0.7379675604104601
Beggin,Måneskin,0.714,0.8,Key_11,minor,0.0504,0.127,0.0,0.359,0.589,134.002,4,2017,"Pop,Rock",0.86203243958954
good 4 u,Olivia Rodrigo,0.556,0.661,Key_6,minor,0.204,0.3,0.0,0.101,0.668,168.56,4,2021,Pop,0.8458788480635552
Peaches feat Daniel Caesar  Giveon,"Justin Bieber, Daniel Caesar, Giveon",0.677,0.696,Key_0,major,0.119,0.321,0.0,0.42,0.464,90.03,4,2021,"Pop,Jazz",0.771135385633896
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",0.586,0.616,Key_5,major,0.0324,0.182,0.0,0.0927,0.719,148.088,4,2021,"Pop,Rock,Hip Hop,Jazz",0.6530950016550812
Easy On Me,Adele,0.604,0.366,Key_5,major,0.0282,0.578,0.0,0.133,0.13,141.981,4,2021,"Pop,Jazz",0.6825554452168157
Heartbreak Anniversary,Giveon,0.449,0.465,Key_0,major,0.0791,0.524,1.02e-06,0.303,0.543,89.087,3,2020,Jazz,0.5868917576961271
STAY with Justin Bieber,"The Kid LAROI, Justin Bieber",0.591,0.764,Key_1,major,0.0483,0.0383,0.0,0.103,0.478,169.928,4,2021,"Pop,Hip Hop",0.8172790466732871
Happier Than Ever,Billie Eilish,0.332,0.225,Key_0,major,0.0348,0.767,0.00349,0.128,0.297,81.055,3,2021,Pop,0.604568023833168
deja vu,Olivia Rodrigo,0.439,0.61,Key_9,major,0.116,0.593,1.07e-05,0.341,0.172,181.088,4,2021,Pop,0.7012909632571998
telepata,Kali Uchis,0.653,0.524,Key_11,minor,0.0502,0.112,0.0,0.203,0.553,83.97,4,2020,Pop,0.5834491890102615
3435,Ariana Grande,0.83,0.585,Key_0,major,0.094,0.237,0.0,0.248,0.485,109.978,4,2020,Pop,0.7516054286660047
Woman,Doja Cat,0.824,0.764,Key_5,minor,0.0854,0.0888,0.00294,0.117,0.881,107.998,4,2021,Pop,0.9039390930155576
MONEY,LISA,0.831,0.554,Key_1,minor,0.218,0.161,6.12e-05,0.152,0.396,140.026,4,2021,Pop,0.5184376034425688
INDUSTRY BABY feat Jack Harlow,"Lil Nas X, Jack Harlow",0.741,0.691,Key_10,minor,0.0672,0.0221,0.0,0.0476,0.892,150.087,4,2021,"Pop,Rap,Hip Hop",0.690764647467726
Astronaut In The Ocean,Masked Wolf,0.778,0.695,Key_4,minor,0.0913,0.175,0.0,0.15,0.472,149.996,4,2021,Hip Hop,0.7258523667659715
Bad Habits,Ed Sheeran,0.808,0.897,Key_11,minor,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,4,2021,Pop,0.9345911949685536
Good Days,SZA,0.436,0.655,Key_1,minor,0.0583,0.499,8.1e-06,0.688,0.412,121.002,4,2020,"Pop,Rap,Jazz",0.6262164846077459
My Universe,"Coldplay, BTS",0.588,0.701,Key_9,major,0.0402,0.00813,0.0,0.2,0.443,104.988,4,2021,Pop,0.7572989076464747
Kiss Me More feat SZA,"Doja Cat, SZA",0.762,0.701,Key_8,major,0.0286,0.235,0.000158,0.123,0.742,110.968,4,2021,"Pop,Rap,Jazz",0.9459119496855346
Butter,BTS,0.759,0.459,Key_8,major,0.0948,0.00323,0.0,0.0906,0.695,109.997,4,2021,Pop,0.8369414101290964
Levitating feat DaBaby,"Dua Lipa, DaBaby",0.702,0.825,Key_6,minor,0.0601,0.00883,0.0,0.0674,0.915,102.977,4,2020,"Pop,Rap,Hip Hop",0.929625951671632
Fair Trade with Travis Scott,"Drake, Travis Scott",0.666,0.465,Key_1,major,0.26,0.0503,0.0,0.215,0.292,167.937,4,2021,"Pop,Rap,Hip Hop",0.6146309169149289
All Too Well 10 Minute Version Taylors Version From The Vault,Taylor Swift,0.631,0.518,Key_0,major,0.0303,0.274,0.0,0.088,0.205,93.023,4,2021,Pop,0.5996689837802053
Todo De Ti,Rauw Alejandro,0.78,0.718,Key_3,minor,0.0506,0.31,0.000163,0.0932,0.342,127.949,4,2021,"Pop,Latino,Rap",0.9416749420721616
You Right,"Doja Cat, The Weeknd",0.828,0.621,Key_8,major,0.0565,0.0164,0.00233,0.0845,0.436,128.986,4,2021,"Pop,Jazz",0.7557100297914598
Heat Waves,Glass Animals,0.761,0.525,Key_11,major,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,2020,"Pop,Rock",0.7235352532274082
Hold On,Justin Bieber,0.658,0.634,Key_1,minor,0.0413,0.0106,0.0,0.132,0.29,139.98,4,2021,Pop,0.7965574313141345
The Business,Tiësto,0.798,0.62,Key_8,minor,0.232,0.414,0.0192,0.112,0.235,120.031,4,2020,"Pop,Hip Hop",0.7116848725587555
Need to Know,Doja Cat,0.664,0.609,Key_1,major,0.0707,0.304,0.0,0.0926,0.194,130.041,4,2021,Pop,0.7494207216153592
I WANNA BE YOUR SLAVE,Måneskin,0.75,0.608,Key_1,major,0.0387,0.00165,0.0,0.178,0.958,132.507,4,2021,"Pop,Rock",0.9149950347567032
Yonaguni,Bad Bunny,0.644,0.648,Key_1,major,0.118,0.276,0.0,0.135,0.44,179.951,4,2021,"Latino,Rap",0.8757365110890434
Streets,Doja Cat,0.749,0.463,Key_11,major,0.0842,0.21,0.0382,0.338,0.189,90.035,4,2019,Pop,0.6220456802383317
positions,Ariana Grande,0.737,0.802,Key_0,major,0.0878,0.468,0.0,0.0931,0.682,144.015,4,2020,Pop,0.8644819596160211
traitor,Olivia Rodrigo,0.38,0.339,Key_3,major,0.0338,0.691,0.0,0.12,0.0849,100.607,4,2021,Pop,0.6583250579278386
willow,Taylor Swift,0.392,0.574,Key_7,major,0.17,0.833,0.00179,0.145,0.529,81.112,4,2020,Pop,0.5715988083416088
love nwantiti ah ah ah,CKay,0.727,0.739,Key_8,major,0.0411,0.365,0.00137,0.161,0.533,93.005,4,2019,Jazz,0.9284342932803707
pov,Ariana Grande,0.487,0.534,Key_0,minor,0.0555,0.36,0.0,0.1,0.173,131.798,4,2020,Pop,0.8053624627606754
Build a Bitch,Bella Poarch,0.855,0.463,Key_3,major,0.0367,0.217,1.77e-05,0.347,0.866,102.931,4,2021,Pop,0.6868586560741476
Up,Cardi B,0.868,0.795,Key_11,major,0.269,0.0012,0.0193,0.0461,0.819,166.0,4,2021,"Pop,Rap",0.7802052300562728
DKITI,"Bad Bunny, Jhayco",0.731,0.573,Key_4,minor,0.0544,0.401,5.22e-05,0.113,0.145,109.928,4,2020,"Latino,Rap",0.5143992055610727
Baila Conmigo with Rauw Alejandro,"Selena Gomez, Rauw Alejandro",0.823,0.544,Key_5,major,0.0715,0.0215,0.00315,0.0966,0.664,149.903,4,2021,"Pop,Latino,Rap",0.7081761006289309
Shivers,Ed Sheeran,0.788,0.859,Key_2,major,0.0856,0.281,0.0,0.0424,0.822,141.02,4,2021,Pop,1.0
Solar Power,Lorde,0.735,0.47,Key_4,major,0.1,0.266,0.000105,0.32,0.897,87.971,4,2021,Pop,0.5576961271102285
Were Good,Dua Lipa,0.722,0.588,Key_6,major,0.0544,0.0319,0.0,0.183,0.59,134.01,4,2021,Pop,0.7876199933796757
WITHOUT YOU with Miley Cyrus,"The Kid LAROI, Miley Cyrus",0.655,0.469,Key_0,major,0.0292,0.173,0.0,0.0956,0.467,92.56,4,2021,"Pop,Hip Hop",0.7661039390930156
late at night,Roddy Ricch,0.643,0.403,Key_1,minor,0.41,0.343,0.0,0.138,0.111,98.54,4,2021,Rap,0.4352863290301225
Calling My Phone,"Lil Tjay, 6LACK",0.907,0.393,Key_4,minor,0.0539,0.451,1.35e-06,0.135,0.202,104.949,4,2021,"Rap,Hip Hop,Jazz",0.6748096656736181
RAPSTAR,Polo G,0.789,0.536,Key_6,major,0.242,0.41,0.0,0.129,0.437,81.039,4,2021,Rap,0.7260509764978484
Girls Want Girls with Lil Baby,"Drake, Lil Baby",0.767,0.438,Key_7,minor,0.29,0.181,0.0,0.142,0.381,86.975,4,2021,"Pop,Rap,Hip Hop",0.6026481297583581
Whoopty,CJ,0.719,0.648,Key_3,minor,0.125,0.2,0.0,0.127,0.66,140.201,4,2020,Rap,0.6771929824561405
LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",0.856,0.618,Key_7,major,0.286,0.0303,0.0,0.0866,0.391,81.993,4,2020,"Pop,Latino,Rap,Jazz",0.8564713670969878
Anyone,Justin Bieber,0.686,0.538,Key_2,major,0.0345,0.181,3.13e-06,0.113,0.584,115.884,4,2021,Pop,0.648990400529626
Love Story Taylors Version,Taylor Swift,0.626,0.79,Key_2,major,0.0311,0.135,3.97e-06,0.0989,0.416,119.082,4,2021,Pop,0.8955312810327707
Afterglow,Ed Sheeran,0.641,0.324,Key_11,major,0.0299,0.698,0.0,0.328,0.273,110.184,4,2020,Pop,0.7929824561403509
GIRL LIKE ME,"Black Eyed Peas, Shakira",0.965,0.485,Key_2,major,0.191,0.0206,0.0237,0.0655,0.312,124.025,4,2020,"Pop,Latino,Rap",0.5988083416087389
BICHOTA,KAROL G,0.863,0.666,Key_1,minor,0.152,0.212,0.000493,0.103,0.838,163.908,4,2020,"Latino,Rap",0.90506454816286
Bandido,"Myke Towers, Juhn",0.713,0.617,Key_8,major,0.0887,0.122,0.0,0.0962,0.682,168.021,4,2020,"Latino,Rap",0.8733531943065211
Prisoner feat Dua Lipa,"Miley Cyrus, Dua Lipa",0.781,0.67,Key_3,minor,0.0452,0.0103,0.0,0.0761,0.595,127.99,4,2020,Pop,0.9213505461767628
Beautiful Mistakes feat Megan Thee Stallion,"Maroon 5, Megan Thee Stallion",0.713,0.676,Key_10,major,0.027,0.0377,0.0,0.154,0.721,99.048,4,2021,"Pop,Rap,Jazz",0.817345249917246
Therefore I Am,Billie Eilish,0.889,0.34,Key_11,minor,0.0697,0.218,0.13,0.055,0.716,94.009,4,2020,Pop,0.6657398212512414
test drive,Ariana Grande,0.698,0.708,Key_9,minor,0.0454,0.0251,0.0,0.124,0.322,115.036,4,2021,Pop,0.8530950016550811
Lemonade,"Internet Money, Gunna, Don Toliver, NAV",0.799,0.66,Key_1,minor,0.079,0.256,0.0,0.111,0.471,140.04,4,2020,"Pop,Rap,Hip Hop",0.7729890764647469
Lost Cause,Billie Eilish,0.671,0.336,Key_10,minor,0.241,0.705,0.00751,0.0577,0.518,75.051,4,2021,Pop,0.6180072823568356
Selfish Love with Selena Gomez,"DJ Snake, Selena Gomez",0.723,0.646,Key_5,minor,0.102,0.0206,0.352,0.0994,0.443,110.971,4,2021,"Pop,Rap,Hip Hop",0.6524991724594505
What You Know Bout Love,Pop Smoke,0.584,0.547,Key_7,minor,0.382,0.655,1.64e-06,0.134,0.56,83.917,4,2021,Rap,0.6174776564051638
Head  Heart feat MNEK,"Joel Corry, MNEK",0.734,0.874,Key_8,major,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,4,2020,"Pop,Jazz",0.971267792121814
Save Your Tears,The Weeknd,0.68,0.826,Key_0,major,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4,2020,"Pop,Jazz",0.8170804369414102
Body,Megan Thee Stallion,0.914,0.732,Key_8,minor,0.241,0.0166,0.0,0.107,0.469,94.066,4,2020,"Pop,Rap,Jazz",0.7764978483945715
Best Friend feat Doja Cat,"Saweetie, Doja Cat",0.84,0.766,Key_4,major,0.136,0.00302,3.61e-06,0.0684,0.402,94.018,4,2021,"Pop,Rap",0.9075802714333004
3435 Remix feat Doja Cat Megan Thee Stallion - Remix,"Ariana Grande, Doja Cat, Megan Thee Stallion",0.88,0.662,Key_0,major,0.304,0.205,0.0,0.227,0.726,109.988,4,2021,"Pop,Rap,Jazz",0.798609731876862
Whats Next,Drake,0.781,0.594,Key_0,minor,0.0485,0.0136,0.0,0.162,0.0628,129.895,4,2021,"Pop,Rap,Hip Hop",0.7196292618338299
On The Ground,ROSÉ,0.311,0.607,Key_1,major,0.11,0.0174,0.0,0.131,0.286,188.7,4,2021,Pop,0.7448526977821914
As I Am feat Khalid,"Justin Bieber, Khalid",0.595,0.543,Key_11,major,0.038,0.127,0.0,0.0975,0.109,99.928,4,2021,"Pop,Jazz",0.6408474015226747
Met Him Last Night feat Ariana Grande,"Demi Lovato, Ariana Grande",0.538,0.512,Key_4,minor,0.0262,0.22,0.0,0.101,0.12,144.978,4,2021,Pop,0.879245283018868
m y  l i f e with 21 Savage  Morray,"J. Cole, 21 Savage, Morray",0.597,0.587,Key_7,minor,0.137,0.0622,0.0,0.214,0.0753,140.021,4,2021,"Pop,Rap,Hip Hop",0.71519364448858
Your Power,Billie Eilish,0.634,0.285,Key_9,minor,0.0807,0.937,0.000359,0.232,0.203,129.65,4,2021,Pop,0.2530287984111222
Permission to Dance,BTS,0.702,0.741,Key_9,major,0.0427,0.00544,0.0,0.337,0.646,124.925,4,2021,Pop,0.8274743462429659
Motley Crew,Post Malone,0.797,0.631,Key_3,minor,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915,4,2021,"Pop,Rap",0.9275736511089044
Hurricane,Kanye West,0.587,0.561,Key_0,major,0.146,0.0466,0.0,0.109,0.351,80.009,4,2021,"Rap,Hip Hop",0.7454485269778219
Pepas,Farruko,0.762,0.766,Key_7,major,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,4,2021,"Latino,Rap",0.9185038066865276
THATS WHAT I WANT,Lil Nas X,0.737,0.846,Key_1,minor,0.22,0.00614,0.0,0.0486,0.546,87.981,4,2021,Hip Hop,0.8817610062893082
Rumors feat Cardi B,"Lizzo, Cardi B",0.827,0.731,Key_4,minor,0.088,0.13,0.0,0.418,0.607,118.992,4,2021,"Pop,Rap,Hip Hop",0.8146309169149288
Skate,"Bruno Mars, Anderson .Paak, Silk Sonic",0.708,0.598,Key_5,major,0.0291,0.037,0.0,0.17,0.698,112.027,4,2021,"Pop,Rock,Hip Hop,Jazz",0.6265475008275406
t r a n s p a r e n t s o u l feat Travis Barker,"WILLOW, Travis Barker",0.39,0.83,Key_11,minor,0.0563,0.0021,0.0,0.156,0.191,90.021,4,2021,"Pop,Rock,Rap",0.836014564713671
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",0.796,0.798,Key_1,major,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,4,2021,"Pop,Rock",0.7624627606752732
Leave Before You Love Me with Jonas Brothers,"Marshmello, Jonas Brothers",0.721,0.738,Key_7,major,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,4,2021,"Pop,Hip Hop",0.8645481628599803
Girl From Rio,Anitta,0.692,0.639,Key_0,major,0.0352,0.00727,0.0,0.199,0.733,140.059,4,2021,Pop,0.7356504468718967
Arcade feat FLETCHER,"Duncan Laurence, FLETCHER",0.446,0.395,Key_0,major,0.0365,0.815,0.00216,0.128,0.267,71.944,3,2020,"Pop,Hip Hop",0.5627937768950679
Summer of Love Shawn Mendes  Tainy,"Shawn Mendes, Tainy",0.776,0.808,Key_11,major,0.117,0.0297,0.000127,0.103,0.494,123.988,4,2021,"Pop,Latino,Rap",0.8823568354849387
Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",0.773,0.47,Key_2,major,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4,2020,"Pop,Rock,Jazz",0.6553459119496856
Life Goes On,Oliver Tree,0.7,0.49,Key_0,major,0.076,0.186,0.0,0.117,0.569,79.982,4,2021,Hip Hop,0.8369414101290964
Dick feat Doja Cat,"StarBoi3, Doja Cat",0.647,0.608,Key_9,major,0.42,0.13,0.0,0.0584,0.474,125.994,4,2021,"Pop,Rap",0.728103277060576
Praise God,Kanye West,0.798,0.545,Key_1,major,0.168,0.00904,9.48e-05,0.258,0.212,118.029,4,2021,"Rap,Hip Hop",0.7522674611055942
As It Was,Harry Styles,0.52,0.731,Key_6,minor,0.0557,0.342,0.00101,0.311,0.662,173.93,4,2022,Pop,0.8269447202912943
Me Porto Bonito,"Bad Bunny, Chencho Corleone",0.911,0.712,Key_1,minor,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,4,2022,"Latino,Rap",0.8423700761337305
Tit Me Pregunt,Bad Bunny,0.65,0.715,Key_5,minor,0.253,0.0993,0.000291,0.126,0.187,106.672,4,2022,"Latino,Rap",0.8362131744455479
Enemy with JID - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",0.728,0.783,Key_11,minor,0.266,0.237,0.0,0.434,0.555,77.011,4,2021,"Pop,Rock,Rap,Hip Hop",0.8874544852697782
Quevedo Bzrp Music Sessions Vol 52,"Bizarrap, Quevedo",0.621,0.782,Key_2,major,0.044,0.0125,0.033,0.23,0.55,128.033,4,2022,"Pop,Latino,Rap,Hip Hop",0.813042039059914
Ojitos Lindos,"Bad Bunny, Bomba Estéreo",0.647,0.686,Key_3,minor,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4,2022,"Pop,Rock,Rap,Latino",0.8
Running Up That Hill A Deal With God,Kate Bush,0.629,0.545,Key_10,minor,0.0546,0.719,0.00308,0.0604,0.194,108.376,4,1985,"Pop,Rock",0.3115524660708376
abcdefu,GAYLE,0.695,0.54,Key_4,major,0.0493,0.299,0.0,0.367,0.415,121.932,4,2021,Pop,0.8035087719298246
Efecto,Bad Bunny,0.801,0.475,Key_7,minor,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,4,2022,"Latino,Rap",0.5979476994372724
Ghost,Justin Bieber,0.601,0.741,Key_2,major,0.0478,0.185,2.91e-05,0.415,0.441,153.96,4,2021,Pop,0.8116517709367759
Glimpse of Us,Joji,0.44,0.317,Key_8,major,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3,2022,Pop,0.5674280039721947
Moscow Mule,Bad Bunny,0.804,0.674,Key_5,minor,0.0333,0.294,1.18e-06,0.115,0.292,99.968,4,2022,"Latino,Rap",0.8193313472360146
MIDDLE OF THE NIGHT,Elley Duhé,0.41,0.611,Key_4,minor,0.0467,0.0228,0.0,0.116,0.0899,185.727,3,2020,Hip Hop,0.6327706057596822
Sweater Weather,The Neighbourhood,0.612,0.807,Key_10,major,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,2013,"Pop,Rock",0.99430652101953
Desesperados,"Rauw Alejandro, Chencho Corleone",0.869,0.694,Key_1,minor,0.0783,0.356,0.00125,0.0878,0.511,90.02,4,2021,"Pop,Latino,Rap",0.9585567692816948
Another Love,Tom Odell,0.445,0.537,Key_4,minor,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4,2013,Pop,0.6154915590863953
PROVENZA,KAROL G,0.87,0.516,Key_1,major,0.0541,0.656,0.00823,0.11,0.53,111.005,4,2022,"Latino,Rap",0.6503144654088051
